GroupID|CodeID|UserValue
10|Q10|1
10|Q18|1
10|Q21|2
10|Q23|0
10|Q24|1
10|Q2|0
10|Q402|9
10|Q404|8
10|Q5|1
10|Q8|0
10|Q9|4
12|Q10|0
12|Q11|5
12|Q1|8
12|Q23|1
12|Q24|6
12|Q25|1
12|Q4|16
12|Q9|4
16|Q12|0
16|Q13|9
16|Q18|4
16|Q19|7
16|Q1|4
16|Q23|0
16|Q25|1
16|Q3|0
16|Q402|8
16|Q404|9
16|Q4|4
16|Q6|7
16|Q9|4
21|Q11|4
21|Q1|2
21|Q20|0
21|Q23|0
21|Q25|1
21|Q402|2
21|Q6|8
21|Q7|3
21|Q8|0
23|Q11|5
23|Q13|4
23|Q15|3
23|Q18|4
23|Q1|1
23|Q21|8
23|Q22|1
23|Q23|1
23|Q2|0
23|Q402|1
23|Q403|1
23|Q404|4
23|Q5|4
24|Q12|0
24|Q13|1
24|Q18|4
24|Q19|7
24|Q21|8
24|Q22|4
24|Q24|5
24|Q25|0
24|Q3|0
24|Q402|7
24|Q6|1
28|Q15|1
28|Q18|8
28|Q19|1
28|Q1|1
28|Q21|2
28|Q23|1
28|Q24|2
28|Q25|1
28|Q3|0
28|Q5|4
28|Q6|1
28|Q7|1
28|Q9|2
31|Q13|10
31|Q15|10
31|Q19|9
31|Q24|9
31|Q402|10
31|Q7|7
31|Q9|1
37|Q10|1
37|Q11|10
37|Q13|10
37|Q15|9
37|Q18|4
37|Q19|9
37|Q22|4
37|Q5|4
37|Q7|9
39|Q11|10
39|Q17|1
39|Q18|8
39|Q21|2
39|Q22|4
39|Q3|0
39|Q404|10
39|Q4|4
39|Q5|1
39|Q6|10
39|Q7|10
39|Q9|4
40|Q12|0
40|Q13|1
40|Q14|0
40|Q15|9
40|Q18|2
40|Q19|1
40|Q1|1
40|Q21|2
40|Q23|0
40|Q2|0
40|Q402|9
40|Q8|0
44|Q10|0
44|Q13|1
44|Q19|1
44|Q21|2
44|Q22|4
44|Q23|0
44|Q3|0
44|Q402|5
44|Q403|5
44|Q4|2
44|Q6|8
44|Q7|3
44|Q9|4
45|Q11|3
45|Q13|5
45|Q17|0
45|Q1|6
45|Q21|8
45|Q25|1
45|Q3|0
45|Q4|4
45|Q6|9
45|Q9|2
47|Q11|6
47|Q12|0
47|Q13|5
47|Q15|7
47|Q16|0
47|Q17|0
47|Q18|1
47|Q1|5
47|Q21|4
47|Q23|1
47|Q24|5
47|Q2|0
47|Q4|4
47|Q5|2
47|Q6|1
47|Q7|1
47|Q9|2
51|Q11|1
51|Q13|1
51|Q18|1
51|Q19|1
51|Q21|1
51|Q22|4
51|Q24|1
51|Q25|0
51|Q3|0
51|Q402|7
51|Q404|7
51|Q5|2
51|Q6|1
51|Q7|6
51|Q9|1
52|Q10|1
52|Q11|9
52|Q13|10
52|Q15|9
52|Q1|8
52|Q23|0
52|Q24|10
52|Q25|1
52|Q3|0
52|Q403|10
52|Q4|4
52|Q5|1
52|Q7|10
52|Q9|4
61|Q10|1
61|Q11|10
61|Q13|10
61|Q1|10
61|Q21|2
61|Q23|0
61|Q24|10
61|Q5|4
61|Q6|10
63|Q12|0
63|Q19|8
63|Q21|2
63|Q25|1
63|Q3|0
63|Q402|8
63|Q404|7
63|Q4|1
63|Q7|8
64|Q10|1
64|Q14|0
64|Q17|0
64|Q19|7
64|Q1|8
64|Q21|2
64|Q24|6
64|Q3|0
6|Q13|10
6|Q15|10
6|Q18|4
6|Q22|4
6|Q403|9
6|Q5|1
6|Q6|9
6|Q7|9
6|Q9|4
71|Q10|1
71|Q12|0
71|Q14|0
71|Q15|5
71|Q18|8
71|Q20|0
71|Q21|2
71|Q22|4
71|Q23|0
71|Q24|5
71|Q25|1
71|Q3|0
71|Q6|5
71|Q7|1
72|Q10|1
72|Q16|0
72|Q17|0
72|Q19|8
72|Q22|4
72|Q23|0
72|Q24|10
72|Q402|10
72|Q403|6
72|Q404|10
72|Q5|4
72|Q8|0
72|Q9|4
73|Q10|1
73|Q12|0
73|Q15|9
73|Q25|1
73|Q4|16
73|Q6|8
75|Q15|5
75|Q17|0
75|Q18|8
75|Q21|2
75|Q22|4
75|Q23|0
75|Q25|0
75|Q402|6
75|Q403|8
75|Q404|7
75|Q9|1
79|Q10|1
79|Q17|0
79|Q18|4
79|Q1|1
79|Q21|8
79|Q23|0
79|Q25|1
79|Q402|9
79|Q403|9
79|Q404|9
79|Q4|4
79|Q6|9
79|Q9|4
7|Q10|1
7|Q15|9
7|Q19|10
7|Q21|2
7|Q22|4
7|Q403|9
7|Q404|10
7|Q5|2
7|Q6|10
7|Q7|9
7|Q9|2
80|Q11|7
80|Q13|8
80|Q15|8
80|Q17|1
80|Q22|4
80|Q24|8
80|Q25|1
80|Q403|10
80|Q404|7
80|Q6|7
